Connection Time,Account Name,Max Viewers,Total Diamonds,Disconnection Time
2025-05-22T01:43:12.318Z,Fancydance__,0,0,2025-05-22T01:43:12.791Z
2025-05-22T01:43:12.792Z,qwlsvae1846,8,0,2025-05-22T01:44:38.308Z
2025-05-22T01:43:15.979Z,totvirgo,89,0,2025-05-22T01:44:38.309Z
2025-05-22T01:43:18.140Z,astrovibesssssss,79,4,2025-05-22T01:44:38.309Z
2025-05-22T01:43:21.349Z,cocoberrygirls,62,19,2025-05-22T01:44:38.309Z
